"STT","Nhóm","Nhà cung cấp","Mô hình / chế độ","Credit","Đơn vị tính","Giá USD","Giá tham chiếu FAL USD","Mức tiết kiệm (%)","Trang model","Ngày đối chiếu","Nguồn"
"25","chat","Grok","grok-4-3, Chat, Cached Input","16","per million tokens","0.08","0.20","60","https://kie.ai/grok-4-3","2026-07-20","https://kie.ai/pricing"
"26","chat","Grok","grok-4-3, Chat, Output","200","per million tokens","1","2.50","60","https://kie.ai/grok-4-3","2026-07-20","https://kie.ai/pricing"
"27","chat","Grok","grok-4-3, Chat, Input","100","per million tokens","0.5","1.25","60","https://kie.ai/grok-4-3","2026-07-20","https://kie.ai/pricing"
"28","chat","Anthropic","claude-sonnet-5, chat, Output","855","per million tokens","4.275","10","57.25","https://kie.ai/claude-sonnet-5","2026-07-20","https://kie.ai/pricing"
"29","chat","Anthropic","claude-sonnet-5, chat, Input","170","per million tokens","0.850","2","57.5","https://kie.ai/claude-sonnet-5","2026-07-20","https://kie.ai/pricing"
"30","image","Google","nano-banana-2-lite, 1k","4","per image","0.02","0.0336","40.5","https://kie.ai/nano-banana-2-lite","2026-07-20","https://kie.ai/pricing"
"31","video","ByteDance","bytedance/seedance-2-mini, 720P no video","20.5","per second","0.1025","0.1547","33.74","","2026-07-20","https://kie.ai/pricing"
"32","video","ByteDance","bytedance/seedance-2-mini, 720P with video","12.5","per second","0.0625","0.0928","32.65","","2026-07-20","https://kie.ai/pricing"
"33","video","ByteDance","bytedance/seedance-2-mini, 480P no video","9.5","per second","0.0475","0.0721","34.12","","2026-07-20","https://kie.ai/pricing"
"34","video","ByteDance","bytedance/seedance-2-mini, 480P with video","6","per second","0.030","0.0433","30.72","","2026-07-20","https://kie.ai/pricing"
"35","video","Alibaba","HappyHorse-1.1, image-to-video, 1080p","29","per second","0.145","0.18","19.44","https://kie.ai/happyhorse-1-1?model=happyhorse-1-1%2Fimage-to-video","2026-07-20","https://kie.ai/pricing"
"36","video","Alibaba","HappyHorse-1.1, image-to-video, 720p","22.5","per second","0.1125","0.14","19.64","https://kie.ai/happyhorse-1-1?model=happyhorse-1-1%2Fimage-to-video","2026-07-20","https://kie.ai/pricing"
"37","video","Alibaba","HappyHorse-1.1, text-to-video, 1080p","29","per second","0.145","0.18","19.44","https://kie.ai/happyhorse-1-1?model=happyhorse-1-1%2Ftext-to-video","2026-07-20","https://kie.ai/pricing"
"38","video","Alibaba","HappyHorse-1.1, text-to-video, 720p","22.5","per second","0.1125","0.14","19.64","https://kie.ai/happyhorse-1-1?model=happyhorse-1-1%2Ftext-to-video","2026-07-20","https://kie.ai/pricing"
"39","video","Alibaba","HappyHorse-1.1, reference-to-video, 1080p","29","per second","0.145","0.18","19.44","https://kie.ai/happyhorse-1-1?model=happyhorse-1-1%2Freference-to-video","2026-07-20","https://kie.ai/pricing"
"40","video","Alibaba","HappyHorse-1.1, reference-to-video, 720p","22.5","per second","0.1125","0.14","19.64","https://kie.ai/happyhorse-1-1?model=happyhorse-1-1%2Freference-to-video","2026-07-20","https://kie.ai/pricing"
"41","video","Kling","kling 3.0 turbo, image-to-video, 1080P","22.5","per second","0.1125","0.14","19.64","","2026-07-20","https://kie.ai/pricing"
"42","video","Kling","kling 3.0 turbo, image-to-video, 720P","18","per second","0.09","0.112","19.64","","2026-07-20","https://kie.ai/pricing"
"43","video","Kling","kling 3.0 turbo, text-to-video, 1080P","22.5","per second","0.1125","0.14","19.64","","2026-07-20","https://kie.ai/pricing"
"44","video","Kling","kling 3.0 turbo, text-to-video, 720P","18","per second","0.09","0.112","19.64","","2026-07-20","https://kie.ai/pricing"
"45","video","ByteDance","volcengine , lip sync","8","per second","0.04","","0","https://kie.ai/volcengine-video-to-video-lip-sync","2026-07-20","https://kie.ai/pricing"
"46","video","ByteDance","omnihuman-1-5, lip sync","27","per second","0.135","0.16","15.62","https://kie.ai/omnihuman-1-5?model=omnihuman-1-5","2026-07-20","https://kie.ai/pricing"
"47","video","ByteDance","bytedance/seedance-1.5-pro, without audio-720p","3.5","per second","0.0175","0.026","32.69","https://kie.ai/seedance-1-5-pro","2026-07-20","https://kie.ai/pricing"
"48","video","ByteDance","bytedance/seedance-1.5-pro, with audio-1080p","15","per second","0.075","0.12","37.5","https://kie.ai/seedance-1-5-pro","2026-07-20","https://kie.ai/pricing"
"49","video","ByteDance","bytedance/seedance-1.5-pro, without audio-1080p","7.5","per second","0.0375","0.06","37.5","https://kie.ai/seedance-1-5-pro","2026-07-20","https://kie.ai/pricing"
"50","video","ByteDance","bytedance/seedance-1.5-pro, with audio-720p","7","per second","0.035","0.052","32.69","https://kie.ai/seedance-1-5-pro","2026-07-20","https://kie.ai/pricing"
"51","video","Kling","Kling 3.0, video, with audio-4K","67","per second","0.335","0.42","20.24","https://kie.ai/kling-3-0","2026-07-20","https://kie.ai/pricing"
"52","video","ByteDance","bytedance/seedance-1.5-pro, with audio-480p","3.5","per second","0.0175","0.025","30","https://kie.ai/seedance-1-5-pro","2026-07-20","https://kie.ai/pricing"
"53","video","ByteDance","bytedance/seedance-1.5-pro, without audio-480p","1.75","per second","0.00875","0.013","32.69","https://kie.ai/seedance-1-5-pro","2026-07-20","https://kie.ai/pricing"
"54","chat","Anthropic","Claude-fable-5 , chat, Output","4000","per milion tokens","20","","0","https://kie.ai/claude-fable-5","2026-07-20","https://kie.ai/pricing"
"55","chat","Anthropic","Claude-fable-5 , chat, Input","800","per milion tokens","4","","0","https://kie.ai/claude-fable-5","2026-07-20","https://kie.ai/pricing"
"56","video","Grok","grok-imagine-video-1-5-preview, image-to-video, 720p","3","per second","0.015","0.14","89.29","https://kie.ai/grok-imagine-video-1.5","2026-07-20","https://kie.ai/pricing"
"57","video","Grok","grok-imagine-video-1-5-preview, image-to-video, 480p","1.6","per second","0.008","0.08","90","https://kie.ai/grok-imagine-video-1.5","2026-07-20","https://kie.ai/pricing"
"58","chat","Anthropic","Claude-Opus-4-8, chat, Output","2000","per milion tokens","10","","0","https://kie.ai/claude-opus-4.8","2026-07-20","https://kie.ai/pricing"
"59","chat","Anthropic","Claude-Opus-4-8, chat, Input","400","per million tokens","2","","0","https://kie.ai/claude-opus-4.8","2026-07-20","https://kie.ai/pricing"
"60","chat","Google","Gemini 3.5 Flash, chat, output","540","per million","2.7","9","70","","2026-07-20","https://kie.ai/pricing"
"61","chat","Google","Gemini 3.5 Flash, chat, input","90","per million","0.45","1.5","70","","2026-07-20","https://kie.ai/pricing"
"62","video","Google","gemini-omni-video, video, 6s 4k no video input","168","per video","0.84","","0","https://kie.ai/gemini-omni","2026-07-20","https://kie.ai/pricing"
"63","video","Google","gemini-omni-video, video, 4k with video input","252","per video","1.26","","0","https://kie.ai/gemini-omni","2026-07-20","https://kie.ai/pricing"
"64","video","Google","gemini-omni-video, video, 1080p with video input","168","per video","0.84","","0","https://kie.ai/gemini-omni","2026-07-20","https://kie.ai/pricing"
"65","video","Google","gemini-omni-video, video, 720p with video input","168","per video","0.84","","0","https://kie.ai/gemini-omni","2026-07-20","https://kie.ai/pricing"
"66","video","Google","gemini-omni-video, video, 10s 4k no video input","210","per video","1.05","","0","https://kie.ai/gemini-omni","2026-07-20","https://kie.ai/pricing"
"67","video","Google","gemini-omni-video, video, 8s 4k no video input","189","per video","0.945","","0","https://kie.ai/gemini-omni","2026-07-20","https://kie.ai/pricing"
"68","video","Google","gemini-omni-video, video, 4s 4k no video input","147","per video","0.735","","0","https://kie.ai/gemini-omni","2026-07-20","https://kie.ai/pricing"
"69","video","Google","gemini-omni-video, video, 10s 1080p no video input","126","per video","0.63","","0","https://kie.ai/gemini-omni","2026-07-20","https://kie.ai/pricing"
"70","video","Google","gemini-omni-video, video, 8s 1080p no video input","105","per video","0.525","","0","https://kie.ai/gemini-omni","2026-07-20","https://kie.ai/pricing"
"71","video","Google","gemini-omni-video, video, 6s 1080p no video input","84","per video","0.42","","0","https://kie.ai/gemini-omni","2026-07-20","https://kie.ai/pricing"
"72","video","Google","gemini-omni-video, video, 4s 1080p no video input","63","per video","0.315","","0","https://kie.ai/gemini-omni","2026-07-20","https://kie.ai/pricing"
"73","video","Google","gemini-omni-video, video, 10s 720p no video input","126","per vedio","0.63","1.25","49.6","https://kie.ai/gemini-omni","2026-07-20","https://kie.ai/pricing"
"74","video","Google","gemini-omni-video, video, 8s 720p no video input","105","per vedio","0.525","1","47.5","https://kie.ai/gemini-omni","2026-07-20","https://kie.ai/pricing"
"75","video","Google","gemini-omni-video, video, 6s 720p no video input","84","per vedio","0.42","0.75","44","https://kie.ai/gemini-omni","2026-07-20","https://kie.ai/pricing"
"76","video","Google","gemini-omni-video, video, 4s 720p no video input","63","per vedio","0.315","0.5","37","https://kie.ai/gemini-omni","2026-07-20","https://kie.ai/pricing"
"77","chat","Anthropic","Claude-Opus-4-7, chat, Input","285","per million tokens","1.425","5","71.5","https://kie.ai/claude-opus-4-7","2026-07-20","https://kie.ai/pricing"
"78","chat","Anthropic","Claude-Opus-4-7, chat, Output","1430","per million tokens","7.150","25","71.4","https://kie.ai/claude-opus-4-7","2026-07-20","https://kie.ai/pricing"
"79","video","Alibaba","HappyHorse-1.0, reference-to-video, 1080p","48","per second","0.24","0.28","14.29","https://kie.ai/happyhorse-1-0?model=happyhorse%2Freference-to-video","2026-07-20","https://kie.ai/pricing"
"80","video","Alibaba","HappyHorse-1.0, reference-to-video, 720p","28","per second","0.14","0.14","0","https://kie.ai/happyhorse-1-0?model=happyhorse%2Freference-to-video","2026-07-20","https://kie.ai/pricing"
"81","video","Alibaba","HappyHorse-1.0, video-edit, 1080p","48","per second","0.24","0.28","14.29","https://kie.ai/happyhorse-1-0?model=happyhorse%2Fvideo-edit","2026-07-20","https://kie.ai/pricing"
"82","video","Alibaba","HappyHorse-1.0, video-edit, 720p","28","per second","0.14","0.14","0","https://kie.ai/happyhorse-1-0?model=happyhorse%2Fvideo-edit","2026-07-20","https://kie.ai/pricing"
"83","video","Alibaba","HappyHorse-1.0, image-to-video, 1080p","48","per second","0.24","0.28","14.29","https://kie.ai/happyhorse-1-0?model=happyhorse%2Fimage-to-video","2026-07-20","https://kie.ai/pricing"
"84","video","Alibaba","HappyHorse-1.0, image-to-video, 720p","28","per second","0.14","0.14","0","https://kie.ai/happyhorse-1-0?model=happyhorse%2Fimage-to-video","2026-07-20","https://kie.ai/pricing"
"85","video","Alibaba","HappyHorse-1.0, text-to-video, 1080p","48","per second","0.24","0.28","14.29","https://kie.ai/happyhorse-1-0?model=happyhorse%2Ftext-to-video","2026-07-20","https://kie.ai/pricing"
"86","video","Alibaba","HappyHorse-1.0, text-to-video, 720p","28","per second","0.14","0.14","0","https://kie.ai/happyhorse-1-0?model=happyhorse%2Ftext-to-video","2026-07-20","https://kie.ai/pricing"
"87","chat","OpenAI","gpt-5.5, Chat, Cached Input","28","per million tokens","0.14","0.5","72","https://kie.ai/gpt-5-5","2026-07-20","https://kie.ai/pricing"
"88","chat","OpenAI","gpt-5.5, Chat, Output","1680","per million tokens","8.4","30","72","https://kie.ai/gpt-5-5","2026-07-20","https://kie.ai/pricing"
"89","chat","OpenAI","gpt-5.5, Chat, Input","280","per million tokens","1.4","5","72","https://kie.ai/gpt-5-5","2026-07-20","https://kie.ai/pricing"
"90","image","OpenAI","gpt image 2, image-to-image, 4k","16","per image","0.08","0.413","80.63","https://kie.ai/gpt-image-2?model=gpt-image-2-image-to-image","2026-07-20","https://kie.ai/pricing"
"91","image","OpenAI","gpt image 2, image-to-image, 2k","10","per image","0.05","0.234","78.63","https://kie.ai/gpt-image-2?model=gpt-image-2-image-to-image","2026-07-20","https://kie.ai/pricing"
"92","image","OpenAI","gpt image 2, image-to-image, 1k","6","per image","0.03","0.219","86.3","https://kie.ai/gpt-image-2?model=gpt-image-2-image-to-image","2026-07-20","https://kie.ai/pricing"
"93","image","OpenAI","gpt image 2, text-to-image, 4k","16","per image","0.08","0.413","80.63","https://kie.ai/gpt-image-2?model=gpt-image-2-text-to-image","2026-07-20","https://kie.ai/pricing"
"94","image","OpenAI","gpt image 2, text-to-image, 2k","10","per image","0.05","0.234","78.63","https://kie.ai/gpt-image-2?model=gpt-image-2-text-to-image","2026-07-20","https://kie.ai/pricing"
"95","image","OpenAI","gpt image 2, text-to-image, 1k","6","per image","0.03","0.219","86.3","https://kie.ai/gpt-image-2?model=gpt-image-2-text-to-image","2026-07-20","https://kie.ai/pricing"
"96","video","Wan","wan 2.7 video, videoedit, 1080p","24","per second","0.12","0.15","20","https://kie.ai/wan-2-7-video?model=wan%2F2-7-videoedit","2026-07-20","https://kie.ai/pricing"
"97","video","Wan","wan 2.7 video, videoedit, 720p","16","per second","0.08","0.1","20","https://kie.ai/wan-2-7-video?model=wan%2F2-7-videoedit","2026-07-20","https://kie.ai/pricing"
"98","video","Wan","wan 2.7 video, r2v, 1080p","24","per second","0.12","0.15","20","https://kie.ai/wan-2-7-video?model=wan%2F2-7-r2v","2026-07-20","https://kie.ai/pricing"
"99","video","Wan","wan 2.7 video, r2v, 720p","16","per second","0.08","0.1","20","https://kie.ai/wan-2-7-video?model=wan%2F2-7-r2v","2026-07-20","https://kie.ai/pricing"
"100","video","Wan","wan 2.7 video, image-to-video, 1080p","24","per second","0.12","0.15","20","https://kie.ai/wan-2-7-video?model=wan%2F2-7-image-to-video","2026-07-20","https://kie.ai/pricing"
"101","video","Wan","wan 2.7 video, image-to-video, 720p","16","per second","0.08","0.1","20","https://kie.ai/wan-2-7-video?model=wan%2F2-7-image-to-video","2026-07-20","https://kie.ai/pricing"
"102","video","Wan","wan 2.7 video, text-to-video, 1080p","24","per second","0.12","0.15","20","https://kie.ai/wan-2-7-video?model=wan%2F2-7-text-to-video","2026-07-20","https://kie.ai/pricing"
"103","video","Wan","wan 2.7 video, text-to-video, 720p","16","per second","0.08","0.1","20","https://kie.ai/wan-2-7-video?model=wan%2F2-7-text-to-video","2026-07-20","https://kie.ai/pricing"
"104","chat","Google","Gemini 3.1 Pro- openai, chat, output","700","per million","3.5","12","70.9","https://kie.ai/gemini-3-1-pro","2026-07-20","https://kie.ai/pricing"
"105","chat","Google","Gemini 3.1 Pro- openai, chat, input","100","per million","0.5","2","75","https://kie.ai/gemini-3-1-pro","2026-07-20","https://kie.ai/pricing"
"106","video","ByteDance","bytedance/seedance-2 fast, 720p no video input","33","per second","0.165","0.2419","31.79","https://kie.ai/seedance-2-0?model=bytedance%2Fseedance-2-fast","2026-07-20","https://kie.ai/pricing"
"107","video","ByteDance","bytedance/seedance-2 fast, 720p with video input","20","per second","0.10","0.1451","31.08","https://kie.ai/seedance-2-0?model=bytedance%2Fseedance-2-fast","2026-07-20","https://kie.ai/pricing"
"108","video","ByteDance","bytedance/seedance-2 fast, 480p no video input","15.5","per second","0.0775","0.1125","31.11","https://kie.ai/seedance-2-0?model=bytedance%2Fseedance-2-fast","2026-07-20","https://kie.ai/pricing"
"109","video","ByteDance","bytedance/seedance-2 fast, 480p with video input","9","per second","0.045","0.0675","33.33","https://kie.ai/seedance-2-0?model=bytedance%2Fseedance-2-fast","2026-07-20","https://kie.ai/pricing"
"110","video","ByteDance","bytedance/seedance-2, 4K no video input","208","per second","1.04","1.56","33.33","","2026-07-20","https://kie.ai/pricing"
"111","video","ByteDance","bytedance/seedance-2, 4K with video input","128","per second","0.64","0.93","31.18","","2026-07-20","https://kie.ai/pricing"
"112","video","ByteDance","bytedance/seedance-2, 1080p with video input","62","per second","0.31","0.4082","24.06","https://kie.ai/seedance-2-0","2026-07-20","https://kie.ai/pricing"
"113","video","ByteDance","bytedance/seedance-2, 1080p no video input","102","per second","0.51","0.6804","25.04","","2026-07-20","https://kie.ai/pricing"
"114","video","ByteDance","bytedance/seedance-2, 720p no video input","41","per second","0.205","0.3024","32.21","https://kie.ai/seedance-2-0","2026-07-20","https://kie.ai/pricing"
"115","video","ByteDance","bytedance/seedance-2, 720p with video input","25","per second","0.125","0.1814","31.09","https://kie.ai/seedance-2-0","2026-07-20","https://kie.ai/pricing"
"116","video","ByteDance","bytedance/seedance-2, 480p no video input","19","per second","0.095","0.1406","32.43","https://kie.ai/seedance-2-0","2026-07-20","https://kie.ai/pricing"
"117","video","ByteDance","bytedance/seedance-2, 480p with video input","11.5","per second","0.057","0.0844","32.46","https://kie.ai/seedance-2-0","2026-07-20","https://kie.ai/pricing"
"118","image","Wan","wan 2.7 image pro","12","per image","0.06","0.075","20","https://kie.ai/wan-2-7-image?model=wan%2F2-7-image-pro","2026-07-20","https://kie.ai/pricing"
"119","image","Wan","wan 2.7 image","4.8","per image","0.024","0.03","20","https://kie.ai/wan-2-7-image","2026-07-20","https://kie.ai/pricing"
"120","video","Grok","grok-imagine/extend, 10s 720p","30","","0.15","0.8","81.3","https://kie.ai/grok-imagine?model=grok-imagine%2Fextend","2026-07-20","https://kie.ai/pricing"
"121","video","Grok","grok-imagine/extend, 10s 480p","20","","0.1","0.6","83.4","https://kie.ai/grok-imagine?model=grok-imagine%2Fextend","2026-07-20","https://kie.ai/pricing"
"122","video","Grok","grok-imagine/extend, 6s 720p","20","","0.1","0.48","79.2","https://kie.ai/grok-imagine?model=grok-imagine%2Fextend","2026-07-20","https://kie.ai/pricing"
"123","video","Grok","grok-imagine/extend, 6s 480p","10","","0.05","0.36","86.2","https://kie.ai/grok-imagine?model=grok-imagine%2Fextend","2026-07-20","https://kie.ai/pricing"
"124","chat","Anthropic","Claude-Haiku-4-5, chat, Output","285","per million tokens","1.425","5","71.5","https://kie.ai/claude-haiku-4-5","2026-07-20","https://kie.ai/pricing"
"125","chat","Anthropic","Claude-Haiku-4-5, chat, Input","55","per million tokens","0.275","1","72.5","https://kie.ai/claude-haiku-4-5","2026-07-20","https://kie.ai/pricing"
"126","chat","Anthropic","Claude-Opus-4-6, chat, Output","1430","per million tokens","7.150","25","71.4","https://kie.ai/claude-opus-4-6","2026-07-20","https://kie.ai/pricing"
"127","chat","Anthropic","Claude-Opus-4-6, chat, Input","285","per million tokens","1.425","5","71.5","https://kie.ai/claude-opus-4-6","2026-07-20","https://kie.ai/pricing"
"128","chat","Anthropic","Claude-Sonnet-4-6, chat, Output","855","per million tokens","4.275","15","71.5","https://kie.ai/claude-sonnet-4-6","2026-07-20","https://kie.ai/pricing"
"129","chat","Anthropic","Claude-Sonnet-4-6, chat, Input","170","per million tokens"," 0.850","3","71.7","https://kie.ai/claude-sonnet-4-6","2026-07-20","https://kie.ai/pricing"
"130","chat","Anthropic","claude-sonnet-4-5, Chat, Output","855","","4.275","15","71.5","https://kie.ai/claude-sonnet-4-5","2026-07-20","https://kie.ai/pricing"
"131","chat","Anthropic","claude-sonnet-4-5, Chat, Input","170 ","per million tokens","0.850","3","71.7","https://kie.ai/claude-sonnet-4-5","2026-07-20","https://kie.ai/pricing"
"132","chat","Anthropic","claude-opus-4-5, Chat, Output","1430","per million tokens","7.150","25","71.4","https://kie.ai/claude-opus-4-5","2026-07-20","https://kie.ai/pricing"
"133","chat","Anthropic","claude-opus-4-5, Chat, Input","285","per million tokens","1.425","5","71.5","https://kie.ai/claude-opus-4-5","2026-07-20","https://kie.ai/pricing"
"134","image","ByteDance","seedream 4.5, image-to-image","6.5","per image","0.0325","0.04","18.75","https://kie.ai/seedream-4-5?model=seedream%2F4.5-edit","2026-07-20","https://kie.ai/pricing"
"135","image","ByteDance","seedream 4.5, text-to-image","6.5","per image","0.0325","0.04","18.75","https://kie.ai/seedream-4-5?model=seedream%2F4.5-text-to-image","2026-07-20","https://kie.ai/pricing"
"136","image","Qwen","Qwen2 - Image edit, text-to-image","5.6","per image","0.028","0.035","20","https://kie.ai/qwen-image-2?model=qwen2%2Ftext-to-image","2026-07-20","https://kie.ai/pricing"
"137","image","Qwen","Qwen2 - Image edit, image-to-image","5.6","per image","0.028","0.035","20","https://kie.ai/qwen-image-2","2026-07-20","https://kie.ai/pricing"
"138","chat","OpenAI","gpt-5.4-codex, Chat, Output","1120","per million tokens","5.60","15","62.67","https://kie.ai/codex","2026-07-20","https://kie.ai/pricing"
"139","chat","OpenAI","gpt-5.4-codex, Chat, Input","140","per million tokens","0.70","2.5","72","https://kie.ai/codex","2026-07-20","https://kie.ai/pricing"
"140","chat","OpenAI","gpt-5.4, Chat, Output","1120","per million tokens","5.60","15","62.67","https://kie.ai/gpt-5-4","2026-07-20","https://kie.ai/pricing"
"141","chat","OpenAI","gpt-5.4, Chat, Input","140","per million tokens","0.70","2.5","72","https://kie.ai/gpt-5-4","2026-07-20","https://kie.ai/pricing"
"142","video","Kling","kling 3.0 motion control, video-to-video, 1080P","27","per second","0.135","0.168","19.64","https://kie.ai/kling-3-motion-control","2026-07-20","https://kie.ai/pricing"
"143","video","Kling","kling 3.0 motion control, video-to-video, 720P","20","per second","0.1","0.126","20.63","https://kie.ai/kling-3-motion-control","2026-07-20","https://kie.ai/pricing"
"144","chat","OpenAI","gpt-5-codex, Chat, Output","800","per million tokens","4.0","10","60","https://kie.ai/codex","2026-07-20","https://kie.ai/pricing"
"145","chat","OpenAI","gpt-5-codex, Chat, Input","100","per million tokens","0.50","1.25","60","https://kie.ai/codex","2026-07-20","https://kie.ai/pricing"
"146","chat","OpenAI","gpt-5.2-codex, Chat, Output","1120","per million tokens","5.6","14","60","https://kie.ai/codex","2026-07-20","https://kie.ai/pricing"
"147","chat","OpenAI","gpt-5.2-codex, Chat, Input","140","per million tokens","0.70","1.75","60","https://kie.ai/codex","2026-07-20","https://kie.ai/pricing"
"148","chat","OpenAI","gpt-5.3-codex, Chat, Output","1120","per million tokens","5.6","14","60","https://kie.ai/codex","2026-07-20","https://kie.ai/pricing"
"149","chat","OpenAI","gpt-5.3-codex, Chat, Input","140","per million tokens","0.70","1.75","60","https://kie.ai/codex","2026-07-20","https://kie.ai/pricing"
"150","chat","OpenAI","gpt-5.1-codex, Chat, Output","800","per million tokens","4.00","10","60","https://kie.ai/codex","2026-07-20","https://kie.ai/pricing"
"151","chat","OpenAI","gpt-5.1-codex, Chat, Input","100","per million tokens","0.50","1.25","60","https://kie.ai/codex","2026-07-20","https://kie.ai/pricing"
"152","image","Google","Google nano banana 2, 4K","18","per image","0.09","0.16","43.75","https://kie.ai/nano-banana-2","2026-07-20","https://kie.ai/pricing"
"153","image","Google","Google nano banana 2, 2K","12","per image","0.06","0.12","50","https://kie.ai/nano-banana-2","2026-07-20","https://kie.ai/pricing"
"154","image","Google","Google nano banana 2, 1K","8","per image","0.04","0.08","50","https://kie.ai/nano-banana-2","2026-07-20","https://kie.ai/pricing"
"155","chat","OpenAI","gpt-5-2, Chat, Input","87.5","per million tokens","0.44","1.75","74.9","https://kie.ai/gpt-5-2","2026-07-20","https://kie.ai/pricing"
"156","chat","OpenAI","gpt-5-2, Chat, Output","700","per million tokens","3.5","14","75","https://kie.ai/gpt-5-2","2026-07-20","https://kie.ai/pricing"
"157","image","ByteDance","seedream 5.0 Lite, image-to-image","5.5","per image","0.0275","0.035","21.43","https://kie.ai/seedream5-0-lite?model=seedream%2F5-lite-image-to-image","2026-07-20","https://kie.ai/pricing"
"158","image","ByteDance","seedream 5.0 Lite, text-to-image","5.5","per image","0.0275","0.035","21.43","https://kie.ai/seedream5-0-lite?model=seedream%2F5-lite-text-to-image","2026-07-20","https://kie.ai/pricing"
